id,title,text,time_created,link
1,瑞士移民,有無人想或已經移民瑞士？,2020-08-23 21:50:54,https://lihkg.com/thread/2170828/page/1
2,移民加拿大｜加拿大移民新政策,"加拿大政府前日發聲明，表示為回應中國在香港實施國安法，將為港人移民加拿大提供多項便利措施，五年內於加國或海外認可大學或高等院校畢業的港人，可申請最長三年的加國工作簽證，在加拿大工作滿一年及符合相關要求，將合資格申請成為永久居民，亦可為伴侶、子女申請到加國團聚，當局會加快相關審批。

點解單嘢無左下文",2021-01-26 16:24:05,https://lihkg.com/thread/2380906/page/1
3,[移民] 醫療科移民,"放射診斷 vs 放射治療
邊個易啲移民？",2020-12-07 17:03:53,https://lihkg.com/thread/2315542/page/1
4,移民陣痛期,"頭幾個月都還好 或者因為新鮮感/忙 其實唔會有太大感覺
到宜家慢慢開始settle 有時靜落黎嘅時候真係會覺得好寂寞 一個人移民果種孤獨感真係唔易對付
但冇計 始終路都要繼續行 夜晚一個人喊完 慣左就冇事了
再唔係遲D出去識多d人先 唔知大家有咩識人嘅方法推介？",2023-04-25 02:06:20,https://lihkg.com/thread/3370937/page/1
5,何妖想移民！！！！！！！,"何君妖申請緊做美國人，快啲入嚟簽佢做咗噤多野，一定要享受大灣區嘅榮耀

https://petitions.whitehouse.gov/petition/make-junius-ho-kwan-yiu-and-his-immediate-family-members-ineligible-us-entry-citizenship-and-visas",2019-07-22 23:16:46,https://lihkg.com/thread/1351361/page/1
6,個個都講移民,"搭車又聽到後生傾計 同fd講移去邊
食飯又聽人話屋企人過去先
Story更加唔洗講


覺得可以放下呢邊既一切
去展開新生活都好勁",2023-04-24 15:54:16,https://lihkg.com/thread/3370468/page/1
7,賭波賭到移民,"早幾年表哥移民咗加拿大 全職做移民生意
聽講賺到少少錢 最近有fd想走 就諗住搵佢幫手
點知原來佢已經冇做 佢話上年有個客 搵佢搞移民 原因係全職賭波搵到錢 話馬會食水深 又成日俾外圍佬走數 一怒之下贏夠錢直接移民去加拿大做職賭
表哥全家靠佢啲tips長期贏錢 連公司都摺埋唔做
我當然叫佢照顧埋我 不過個高手話好多盤馬會冇開",2023-02-21 16:32:03,https://lihkg.com/thread/3312393/page/1
8,機 場 移 民 人 潮,咁多箱行李似移民多過去旅行愛國五毛點睇?!,2021-06-28 07:18:12,https://lihkg.com/thread/2593755/page/1
9,日本移民方法,"方法一讀書再做嘢
去呢個日本讀一年語言學校，拎咗呢個再留卡，日文n2之後直接搵公司簽約，繼續攞公司Visa，住夠五年申請桂帰法
方法二
直接溝個日本仔或者日本妹，之後結婚
方法三
技術移民（工程師嗰啲先得
方法四
投資移民（300,000港幣）",2018-06-10 21:20:07,https://lihkg.com/thread/696890/page/1
10,Youtuber孝仔準備移民,"https://youtu.be/-5yTWm2Fz88
又少個拍本土野",2021-11-10 23:12:01,https://lihkg.com/thread/2769162/page/1
