id,title,text,time_created,link
1,【搶人才】高端人才來港產卵計劃,新時代雙非已經全面進場,2023-02-20 21:02:29,https://lihkg.com/thread/3311706/page/1
2,去老撾、越南搶人才 可以搶到咩人才？,比卡超去老撾搶人才 即係到KK 園搶人才？,2023-10-25 11:43:01,https://lihkg.com/thread/3536422/page/1
3,人才到 人才到 家超搶得到 人才話 人才話 安心點樣掃,"人才到 人才到 家超搶得到
人才話 人才話 安心點樣掃
人才到 人才到 尊子要上路
香港很有美貌 照鏡自豪

仲邊有苛政 反對是零
其實外國邊夠 我哋強勁
每幾日打劫 美麗名聲
優秀DNA卻 很怕疫情

別亂說勾結 這個事情
其實美國勾結 更是強勁
宦官與商界 叫結合姐
講好香港故事 錦繡前程",2022-10-23 21:44:16,https://lihkg.com/thread/3189437/page/1
4,人才到 人才到 家超搶得到 人才話 人才話 安心點樣掃,"人才到 人才到 尊子等上路
香港很有美貌 照鏡自豪",2022-10-23 20:41:56,https://lihkg.com/thread/3189374/page/1
5,[人才濟濟] 利物浦熱身賽討論區 3,咁都誤中,2021-07-29 15:52:54,https://lihkg.com/thread/2639653/page/1
6,搶人才緊要，定留人才緊要啲？,搶番嚟嘅係大陸嘅醫護/警察，流失嘅係 dsc狀元，iq過160嘅小朋友,2023-07-26 08:34:44,https://lihkg.com/thread/3452520/page/1
7,"香港人才流失, 需要擄劫人才!!","融入國家發展, 連中文水平都跟住農民化",2022-11-19 05:20:58,https://lihkg.com/thread/3218111/page/1
8,搶人才但唔留人才係咩玩法？,"香港讀左十幾年書就送佢走
再用高薪請d 外部垃圾返黎",2022-10-19 15:24:47,https://lihkg.com/thread/3184656/page/1
9,美國人才外流 中國人才回流,"美國人才外流 中國人才回流

https://inews.hket.com/article/2277349/%E9%9B%B7%E9%BC%8E%E9%B3%B4%20-%20%E7%BE%8E%E5%9C%8B%E4%BA%BA%E6%89%8D%E5%A4%96%E6%B5%81%20%E4%B8%AD%E5%9C%8B%E4%BA%BA%E6%89%8D%E5%9B%9E%E6%B5%81

美國有一個很奇怪的政策，申請到美國留學的學生在領事館申請學生簽證時，若是被問到為何想到美國，就算是出於禮貌，說自己很仰慕美國，畢業後想留在那裏定居，那麼簽證幾乎必定被拒，我以前不少學生也中過招。不過，美國亦是一個移民國家，美國國力及科技水平之能維持，實又得功於她肯大量吸收新移民。

矽谷是美國創新科技最有活力的地方，這裏的科技研究人員（不計一般職員），泰半便是新移民或他們的第一代後裔。美國大學理工科的課室中，往往大半學生都是亞洲人，其他學生選科時一看到這麼多亞洲人，往往便立刻跑掉，因害怕競爭不過人，分數太低也。在80、90年前，麻省理工本來無甚名氣地位，只被看成是一登不上大雅之堂的工專，但校方有眼光，把在歐洲受到迫害的科學家大量吸納過來，終成就它的科技龍頭學府地位。

特朗普散布排外情緒

但這些情況近年有變，引起了美國有識之士的憂慮。我以前有一位老師、但亦是朋友的國際貿易與金融專家古魯格（Anne Krueger），她當過幾所名校的大教授，當過世界銀行的副行長及國際貨幣基金的第一副總裁，亦是香港科技大學的榮譽博士，近日她便撰文批評美國政府的政策導致了人才外流，大大不妙。

她指出，美國有大量世界第一流的大學，到美國留學的人是美國學生到別國留學的3倍，大學教育是美國重要的出口服務業，每年淨賺340億美元，是美國出口大豆、煤與天然氣價值的總和。美國理工科學生中，大半便是外國人，若無留學生到美國讀書，畢業後又留在那裏，美國必定出現科技人才的短缺。在2016年以前，到美國留學的人數每年都在上升（主要應得力於來自中國的留學生），但在2016年，人數卻下降了3%，2017年又下降6.6%，2018年估計再跌7%。

為何這樣？一方面是美國學費愈來愈貴，另一方面是美國有些人開始排外。人才本應是要大力吸引的，但特朗普政府卻反其道而行，不斷散布疑外排外的情緒，而且收緊學生簽證。已來到美國讀書的各國尖子，也恐慌會否外遊時受到壓制回不了美國繼續學業。古魯格便直斥特朗普是把槍對準自己的腳發射。

美國是否自挖牆腳，我們或許留給美國有識之士去理會，古魯格說美國人才外流，用詞也許可以稍加修訂，美國只是暫時吸引人才的能力削弱，會否仍未到本土人才大量流走的地步？因為到美國留學最多的人來自中國，要回答這問題，我們不妨看看中國的數據。

中國市場吸引力大增

中國統計年鑑有出國留學及回流人士的數據。我分析這些數據有兩大結論。第一，現在每年出國的留學生仍在急速上升，2017年有608,400人，比起2013年的399,600人或1985年的不足5,000人真的升幅巨大。赴美的人數或許減少了，但中國出國留學的人只是移師往別的國家學習而已。

第二，為方便計算，我假設赴美留學平均約4年完成學業，要估算有多少比例的人完成學業後會回流，我們大可把某年回流的海歸人數與4年之前出國的人數比較，例如2017年有超過48萬人回流，但4年前的2013年卻只有41.4萬的人出國留學，這反映近年回流的人已多於出國的人。再細看數據，可知轉折點在2010年出現，那年回流13.5萬人，稍多於2006年出國的13.4萬人。在這年之前，出的人比回流的人要多，例如，在80年代，大約只有3成的人畢業後會回國。由此可知，中國已進入人才淨回流期，人才不是在外流，而是淨流入，正如台灣在80年代中期以後出現的情況一樣。

這對中國是好事，但既然這現象是在特朗普上台前已出現，人才淨回流的原因，應該是因中國經濟上升、市場吸引力大增所帶動，而特朗普的疑外政策，將來則或更加快留學生的回流，特朗普實在是幫了中國的大忙。",2019-02-22 15:36:01,https://lihkg.com/thread/1032197/page/1
10,香港街市驚現人才,呢d人才真係可以黎多d,2023-04-16 18:27:29,https://lihkg.com/thread/3363136/page/1
